Year,Category,Mass (Gt),Proportion (%)
2018,0-1 km²,1577.5487291140407,19.98
2018,1-10 km²,1729.5530591245315,21.91
2018,10-100 km²,922.9388996045712,11.69
2018,100-1000 km²,960.851807585025,12.17
2018,>1000 km²,2704.2234448394997,34.25
2019,0-1 km²,1713.2697263116158,20.01
2019,1-10 km²,1905.4269390939985,22.25
2019,10-100 km²,973.3567759868424,11.37
2019,100-1000 km²,761.7887371677375,8.9
2019,>1000 km²,3209.540722149625,37.48
2020,0-1 km²,1683.7964929564055,17.87
2020,1-10 km²,2188.418533656001,23.23
2020,10-100 km²,1337.9900421052462,14.2
2020,100-1000 km²,1404.455599459525,14.91
2020,>1000 km²,2805.6001630954997,29.78
2021,0-1 km²,2040.964466661931,19.15
2021,1-10 km²,1838.375736090738,17.25
2021,10-100 km²,1168.2599485964924,10.96
2021,100-1000 km²,2088.9620342690873,19.6
2021,>1000 km²,3519.231163953625,33.03
2022,0-1 km²,1756.3610943965512,18.24
2022,1-10 km²,1670.219507493006,17.35
2022,10-100 km²,1047.4086418275388,10.88
2022,100-1000 km²,1411.5371246432499,14.66
2022,>1000 km²,3741.11863213,38.86
2023,0-1 km²,1864.6995041908847,21.16
2023,1-10 km²,1553.3334768967402,17.62
2023,10-100 km²,1022.13815026721,11.6
2023,100-1000 km²,1558.6081481915623,17.68
2023,>1000 km²,2815.294689351875,31.94
